gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
AT4G32890,3.06E-49,0.729423508,0.992,0.538,6.90E-45,10,GATA9,ORTHO905GF002683
AT3G15950,3.18E-49,0.8868847,1,0.67,7.17E-45,10,NAI2,ORTHO905GF022094
AT5G37630,5.63E-49,0.400065603,0.489,0.095,1.27E-44,10,EMB2656,ORTHO905GF006547
AT2G43610,6.29E-49,1.044413176,1,0.949,1.42E-44,10,AT2G43610,ORTHO905GF019890
AT5G66590,6.92E-49,0.753992751,0.885,0.326,1.56E-44,10,AT5G66590,ORTHO905GF010212
AT4G00730,7.14E-49,0.594904226,0.817,0.253,1.61E-44,10,ANL2,ORTHO905GF003124
AT1G06320,8.59E-49,0.469534507,0.496,0.098,1.94E-44,10,AT1G06320,ORTHO905GF011140
AT5G52830,8.81E-49,0.599507322,0.779,0.236,1.99E-44,10,WRKY27,ORTHO905GF002515
AT4G30810,8.98E-49,0.682584938,0.985,0.649,2.02E-44,10,SCPL29,ORTHO905GF005142
AT3G15810,1.11E-48,0.743343256,1,0.696,2.50E-44,10,AT3G15810,ORTHO905GF004287
AT2G24170,1.20E-48,0.800842803,0.931,0.389,2.71E-44,10,TMN10,ORTHO905GF000603
AT4G00400,1.25E-48,0.518517559,0.527,0.106,2.81E-44,10,GPAT8,ORTHO905GF000272
AT1G78390,1.51E-48,0.352278264,0.351,0.05,3.41E-44,10,NCED9,ORTHO905GF001028
AT3G27230,1.54E-48,0.648271156,0.977,0.667,3.47E-44,10,AT3G27230,ORTHO905GF001835
AT3G25597,1.65E-48,0.773561299,0.931,0.34,3.71E-44,10,AT3G25597,ORTHO905GF022116
AT2G27130,1.65E-48,0.675706713,0.908,0.376,3.72E-44,10,XYP11,ORTHO905GF005265
AT1G07290,1.89E-48,0.629924884,0.802,0.238,4.26E-44,10,GONST2,ORTHO905GF001863
AT3G24495,2.16E-48,0.289802825,0.344,0.048,4.86E-44,10,MSH7,ORTHO905GF010656
AT2G23630,4.81E-48,1.144438543,0.802,0.278,1.09E-43,10,sks16,ORTHO905GF000325
AT1G27100,5.14E-48,0.64232665,1,0.747,1.16E-43,10,AT1G27100,ORTHO905GF000905
AT4G36640,6.47E-48,0.789996381,0.962,0.38,1.46E-43,10,AT4G36640,ORTHO905GF002124
